method_id,coffee_id,score,rationale
m_v60,c_huila_geisha_washed,5,"El método V60 complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil clarity_acidity."
m_kalita,c_huila_geisha_washed,5,"El método Kalita Wave complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil clarity_balance."
m_chemex,c_huila_geisha_washed,5,"El método Chemex complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil clarity_clean."
m_aeropress,c_huila_geisha_washed,4,"El método AeroPress complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil versatile."
m_french,c_huila_geisha_washed,4,"El método French Press complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil body."
m_moka,c_huila_geisha_washed,4,"El método Moka Pot complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil intensity."
m_coldbrew,c_huila_geisha_washed,3,"El método Cold Brew complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil sweetness."
m_siphon,c_huila_geisha_washed,2,"El método Siphon complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil tea_like."
m_clever,c_huila_geisha_washed,3,"El método Clever Dripper complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil balanced."
m_espresso,c_huila_geisha_washed,4,"El método Espresso complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil concentrated."
m_origami,c_huila_geisha_washed,5,"El método Origami Dripper complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil clarity_floral."
m_pulsar,c_huila_geisha_washed,5,"El método NextLevel Pulsar complementa las notas jazmín; bergamota; miel; florales del café de Huila, aportando un perfil high_clarity."
m_v60,c_huila_castillo_honey,2,"El método V60 complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil clarity_acidity."
m_kalita,c_huila_castillo_honey,2,"El método Kalita Wave complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil clarity_balance."
m_chemex,c_huila_castillo_honey,3,"El método Chemex complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil clarity_clean."
m_aeropress,c_huila_castillo_honey,3,"El método AeroPress complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil versatile."
m_french,c_huila_castillo_honey,2,"El método French Press complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil body."
m_moka,c_huila_castillo_honey,3,"El método Moka Pot complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil intensity."
m_coldbrew,c_huila_castillo_honey,4,"El método Cold Brew complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil sweetness."
m_siphon,c_huila_castillo_honey,3,"El método Siphon complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil tea_like."
m_clever,c_huila_castillo_honey,2,"El método Clever Dripper complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil balanced."
m_espresso,c_huila_castillo_honey,4,"El método Espresso complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil concentrated."
m_origami,c_huila_castillo_honey,4,"El método Origami Dripper complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil clarity_floral."
m_pulsar,c_huila_castillo_honey,3,"El método NextLevel Pulsar complementa las notas caramelo; durazno; panela del café de Huila, aportando un perfil high_clarity."
m_v60,c_narino_caturra_washed,5,"El método V60 complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil clarity_acidity."
m_kalita,c_narino_caturra_washed,5,"El método Kalita Wave complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil clarity_balance."
m_chemex,c_narino_caturra_washed,5,"El método Chemex complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil clarity_clean."
m_aeropress,c_narino_caturra_washed,3,"El método AeroPress complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil versatile."
m_french,c_narino_caturra_washed,3,"El método French Press complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil body."
m_moka,c_narino_caturra_washed,3,"El método Moka Pot complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil intensity."
m_coldbrew,c_narino_caturra_washed,4,"El método Cold Brew complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil sweetness."
m_siphon,c_narino_caturra_washed,4,"El método Siphon complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil tea_like."
m_clever,c_narino_caturra_washed,4,"El método Clever Dripper complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil balanced."
m_espresso,c_narino_caturra_washed,4,"El método Espresso complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil concentrated."
m_origami,c_narino_caturra_washed,5,"El método Origami Dripper complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil clarity_floral."
m_pulsar,c_narino_caturra_washed,5,"El método NextLevel Pulsar complementa las notas cítricos; panela; flores del café de Nariño, aportando un perfil high_clarity."
m_v60,c_cauca_bourbon_washed,3,"El método V60 complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil clarity_acidity."
m_kalita,c_cauca_bourbon_washed,2,"El método Kalita Wave complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil clarity_balance."
m_chemex,c_cauca_bourbon_washed,3,"El método Chemex complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil clarity_clean."
m_aeropress,c_cauca_bourbon_washed,4,"El método AeroPress complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil versatile."
m_french,c_cauca_bourbon_washed,4,"El método French Press complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil body."
m_moka,c_cauca_bourbon_washed,2,"El método Moka Pot complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil intensity."
m_coldbrew,c_cauca_bourbon_washed,3,"El método Cold Brew complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil sweetness."
m_siphon,c_cauca_bourbon_washed,4,"El método Siphon complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil tea_like."
m_clever,c_cauca_bourbon_washed,3,"El método Clever Dripper complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil balanced."
m_espresso,c_cauca_bourbon_washed,4,"El método Espresso complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil concentrated."
m_origami,c_cauca_bourbon_washed,3,"El método Origami Dripper complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil clarity_floral."
m_pulsar,c_cauca_bourbon_washed,2,"El método NextLevel Pulsar complementa las notas manzana; cacao; almendra del café de Cauca, aportando un perfil high_clarity."
m_v60,c_santander_castillo_washed,2,"El método V60 complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil clarity_acidity."
m_kalita,c_santander_castillo_washed,2,"El método Kalita Wave complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil clarity_balance."
m_chemex,c_santander_castillo_washed,4,"El método Chemex complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil clarity_clean."
m_aeropress,c_santander_castillo_washed,2,"El método AeroPress complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil versatile."
m_french,c_santander_castillo_washed,5,"El método French Press complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil body."
m_moka,c_santander_castillo_washed,5,"El método Moka Pot complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil intensity."
m_coldbrew,c_santander_castillo_washed,5,"El método Cold Brew complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil sweetness."
m_siphon,c_santander_castillo_washed,4,"El método Siphon complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil tea_like."
m_clever,c_santander_castillo_washed,4,"El método Clever Dripper complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil balanced."
m_espresso,c_santander_castillo_washed,4,"El método Espresso complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil concentrated."
m_origami,c_santander_castillo_washed,2,"El método Origami Dripper complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil clarity_floral."
m_pulsar,c_santander_castillo_washed,2,"El método NextLevel Pulsar complementa las notas cacao; nuez; panela del café de Santander, aportando un perfil high_clarity."
m_v60,c_tolima_typica_natural,3,"El método V60 complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil clarity_acidity."
m_kalita,c_tolima_typica_natural,4,"El método Kalita Wave complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil clarity_balance."
m_chemex,c_tolima_typica_natural,2,"El método Chemex complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil clarity_clean."
m_aeropress,c_tolima_typica_natural,4,"El método AeroPress complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil versatile."
m_french,c_tolima_typica_natural,4,"El método French Press complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil body."
m_moka,c_tolima_typica_natural,3,"El método Moka Pot complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil intensity."
m_coldbrew,c_tolima_typica_natural,2,"El método Cold Brew complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil sweetness."
m_siphon,c_tolima_typica_natural,4,"El método Siphon complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil tea_like."
m_clever,c_tolima_typica_natural,4,"El método Clever Dripper complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil balanced."
m_espresso,c_tolima_typica_natural,4,"El método Espresso complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil concentrated."
m_origami,c_tolima_typica_natural,2,"El método Origami Dripper complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil clarity_floral."
m_pulsar,c_tolima_typica_natural,4,"El método NextLevel Pulsar complementa las notas frutos rojos; vino; chocolate del café de Tolima, aportando un perfil high_clarity."
m_v60,c_etiopia_yirgacheffe,5,"El método V60 complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil clarity_acidity."
m_kalita,c_etiopia_yirgacheffe,5,"El método Kalita Wave complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil clarity_balance."
m_chemex,c_etiopia_yirgacheffe,5,"El método Chemex complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil clarity_clean."
m_aeropress,c_etiopia_yirgacheffe,4,"El método AeroPress complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil versatile."
m_french,c_etiopia_yirgacheffe,2,"El método French Press complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil body."
m_moka,c_etiopia_yirgacheffe,2,"El método Moka Pot complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil intensity."
m_coldbrew,c_etiopia_yirgacheffe,3,"El método Cold Brew complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil sweetness."
m_siphon,c_etiopia_yirgacheffe,2,"El método Siphon complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil tea_like."
m_clever,c_etiopia_yirgacheffe,4,"El método Clever Dripper complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil balanced."
m_espresso,c_etiopia_yirgacheffe,2,"El método Espresso complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil concentrated."
m_origami,c_etiopia_yirgacheffe,5,"El método Origami Dripper complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil clarity_floral."
m_pulsar,c_etiopia_yirgacheffe,5,"El método NextLevel Pulsar complementa las notas té negro; jazmín; limón del café de Etiopía, aportando un perfil high_clarity."
m_v60,c_kenya_aa,5,"El método V60 complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil clarity_acidity."
m_kalita,c_kenya_aa,5,"El método Kalita Wave complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil clarity_balance."
m_chemex,c_kenya_aa,5,"El método Chemex complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil clarity_clean."
m_aeropress,c_kenya_aa,2,"El método AeroPress complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil versatile."
m_french,c_kenya_aa,4,"El método French Press complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil body."
m_moka,c_kenya_aa,3,"El método Moka Pot complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil intensity."
m_coldbrew,c_kenya_aa,3,"El método Cold Brew complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil sweetness."
m_siphon,c_kenya_aa,4,"El método Siphon complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil tea_like."
m_clever,c_kenya_aa,3,"El método Clever Dripper complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil balanced."
m_espresso,c_kenya_aa,4,"El método Espresso complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil concentrated."
m_origami,c_kenya_aa,5,"El método Origami Dripper complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil clarity_floral."
m_pulsar,c_kenya_aa,5,"El método NextLevel Pulsar complementa las notas grosella; tomate; cítricos del café de Kenia, aportando un perfil high_clarity."
m_v60,c_brasil_bourbon,2,"El método V60 complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil clarity_acidity."
m_kalita,c_brasil_bourbon,3,"El método Kalita Wave complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil clarity_balance."
m_chemex,c_brasil_bourbon,4,"El método Chemex complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil clarity_clean."
m_aeropress,c_brasil_bourbon,4,"El método AeroPress complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil versatile."
m_french,c_brasil_bourbon,5,"El método French Press complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil body."
m_moka,c_brasil_bourbon,5,"El método Moka Pot complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil intensity."
m_coldbrew,c_brasil_bourbon,5,"El método Cold Brew complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil sweetness."
m_siphon,c_brasil_bourbon,4,"El método Siphon complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil tea_like."
m_clever,c_brasil_bourbon,4,"El método Clever Dripper complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil balanced."
m_espresso,c_brasil_bourbon,4,"El método Espresso complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil concentrated."
m_origami,c_brasil_bourbon,2,"El método Origami Dripper complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil clarity_floral."
m_pulsar,c_brasil_bourbon,2,"El método NextLevel Pulsar complementa las notas avellana; chocolate; azúcar morena del café de Brasil, aportando un perfil high_clarity."
m_v60,c_guatemala_antigua,2,"El método V60 complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil clarity_acidity."
m_kalita,c_guatemala_antigua,2,"El método Kalita Wave complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil clarity_balance."
m_chemex,c_guatemala_antigua,4,"El método Chemex complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil clarity_clean."
m_aeropress,c_guatemala_antigua,4,"El método AeroPress complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil versatile."
m_french,c_guatemala_antigua,2,"El método French Press complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil body."
m_moka,c_guatemala_antigua,4,"El método Moka Pot complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil intensity."
m_coldbrew,c_guatemala_antigua,5,"El método Cold Brew complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil sweetness."
m_siphon,c_guatemala_antigua,3,"El método Siphon complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil tea_like."
m_clever,c_guatemala_antigua,3,"El método Clever Dripper complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil balanced."
m_espresso,c_guatemala_antigua,4,"El método Espresso complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil concentrated."
m_origami,c_guatemala_antigua,4,"El método Origami Dripper complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil clarity_floral."
m_pulsar,c_guatemala_antigua,2,"El método NextLevel Pulsar complementa las notas cacao; naranja; miel del café de Guatemala, aportando un perfil high_clarity."
m_v60,c_colombia_pink_bourbon,5,"El método V60 complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil clarity_acidity."
m_kalita,c_colombia_pink_bourbon,5,"El método Kalita Wave complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil clarity_balance."
m_chemex,c_colombia_pink_bourbon,5,"El método Chemex complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil clarity_clean."
m_aeropress,c_colombia_pink_bourbon,3,"El método AeroPress complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil versatile."
m_french,c_colombia_pink_bourbon,4,"El método French Press complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil body."
m_moka,c_colombia_pink_bourbon,3,"El método Moka Pot complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil intensity."
m_coldbrew,c_colombia_pink_bourbon,2,"El método Cold Brew complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil sweetness."
m_siphon,c_colombia_pink_bourbon,2,"El método Siphon complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil tea_like."
m_clever,c_colombia_pink_bourbon,3,"El método Clever Dripper complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil balanced."
m_espresso,c_colombia_pink_bourbon,4,"El método Espresso complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil concentrated."
m_origami,c_colombia_pink_bourbon,5,"El método Origami Dripper complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil clarity_floral."
m_pulsar,c_colombia_pink_bourbon,5,"El método NextLevel Pulsar complementa las notas frambuesa; rosas; panela del café de Huila, aportando un perfil high_clarity."
m_v60,c_peru_caturra,3,"El método V60 complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil clarity_acidity."
m_kalita,c_peru_caturra,3,"El método Kalita Wave complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil clarity_balance."
m_chemex,c_peru_caturra,4,"El método Chemex complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil clarity_clean."
m_aeropress,c_peru_caturra,4,"El método AeroPress complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil versatile."
m_french,c_peru_caturra,4,"El método French Press complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil body."
m_moka,c_peru_caturra,2,"El método Moka Pot complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil intensity."
m_coldbrew,c_peru_caturra,4,"El método Cold Brew complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil sweetness."
m_siphon,c_peru_caturra,4,"El método Siphon complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil tea_like."
m_clever,c_peru_caturra,2,"El método Clever Dripper complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil balanced."
m_espresso,c_peru_caturra,4,"El método Espresso complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil concentrated."
m_origami,c_peru_caturra,2,"El método Origami Dripper complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil clarity_floral."
m_pulsar,c_peru_caturra,2,"El método NextLevel Pulsar complementa las notas mandarina; caramelo; cacao del café de Perú, aportando un perfil high_clarity."
m_v60,c_mexico_oaxaca,3,"El método V60 complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil clarity_acidity."
m_kalita,c_mexico_oaxaca,2,"El método Kalita Wave complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil clarity_balance."
m_chemex,c_mexico_oaxaca,2,"El método Chemex complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil clarity_clean."
m_aeropress,c_mexico_oaxaca,2,"El método AeroPress complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil versatile."
m_french,c_mexico_oaxaca,3,"El método French Press complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil body."
m_moka,c_mexico_oaxaca,4,"El método Moka Pot complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil intensity."
m_coldbrew,c_mexico_oaxaca,5,"El método Cold Brew complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil sweetness."
m_siphon,c_mexico_oaxaca,3,"El método Siphon complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil tea_like."
m_clever,c_mexico_oaxaca,3,"El método Clever Dripper complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil balanced."
m_espresso,c_mexico_oaxaca,4,"El método Espresso complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil concentrated."
m_origami,c_mexico_oaxaca,2,"El método Origami Dripper complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil clarity_floral."
m_pulsar,c_mexico_oaxaca,4,"El método NextLevel Pulsar complementa las notas nuez; cacao; piloncillo del café de México, aportando un perfil high_clarity."
m_v60,c_panama_geisha,5,"El método V60 complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil clarity_acidity."
m_kalita,c_panama_geisha,5,"El método Kalita Wave complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil clarity_balance."
m_chemex,c_panama_geisha,5,"El método Chemex complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil clarity_clean."
m_aeropress,c_panama_geisha,3,"El método AeroPress complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil versatile."
m_french,c_panama_geisha,3,"El método French Press complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil body."
m_moka,c_panama_geisha,2,"El método Moka Pot complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil intensity."
m_coldbrew,c_panama_geisha,4,"El método Cold Brew complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil sweetness."
m_siphon,c_panama_geisha,4,"El método Siphon complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil tea_like."
m_clever,c_panama_geisha,4,"El método Clever Dripper complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil balanced."
m_espresso,c_panama_geisha,2,"El método Espresso complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil concentrated."
m_origami,c_panama_geisha,5,"El método Origami Dripper complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil clarity_floral."
m_pulsar,c_panama_geisha,5,"El método NextLevel Pulsar complementa las notas jazmín; durazno; miel del café de Panamá, aportando un perfil high_clarity."
m_v60,c_sumatra_mandheling,4,"El método V60 complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil clarity_acidity."
m_kalita,c_sumatra_mandheling,3,"El método Kalita Wave complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil clarity_balance."
m_chemex,c_sumatra_mandheling,2,"El método Chemex complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil clarity_clean."
m_aeropress,c_sumatra_mandheling,4,"El método AeroPress complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil versatile."
m_french,c_sumatra_mandheling,5,"El método French Press complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil body."
m_moka,c_sumatra_mandheling,5,"El método Moka Pot complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil intensity."
m_coldbrew,c_sumatra_mandheling,5,"El método Cold Brew complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil sweetness."
m_siphon,c_sumatra_mandheling,3,"El método Siphon complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil tea_like."
m_clever,c_sumatra_mandheling,3,"El método Clever Dripper complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil balanced."
m_espresso,c_sumatra_mandheling,4,"El método Espresso complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil concentrated."
m_origami,c_sumatra_mandheling,4,"El método Origami Dripper complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil clarity_floral."
m_pulsar,c_sumatra_mandheling,4,"El método NextLevel Pulsar complementa las notas tabaco; tierra húmeda; cacao del café de Indonesia, aportando un perfil high_clarity."
m_v60,c_ruanda_red_bourbon,5,"El método V60 complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil clarity_acidity."
m_kalita,c_ruanda_red_bourbon,5,"El método Kalita Wave complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil clarity_balance."
m_chemex,c_ruanda_red_bourbon,5,"El método Chemex complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil clarity_clean."
m_aeropress,c_ruanda_red_bourbon,2,"El método AeroPress complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil versatile."
m_french,c_ruanda_red_bourbon,3,"El método French Press complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil body."
m_moka,c_ruanda_red_bourbon,2,"El método Moka Pot complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil intensity."
m_coldbrew,c_ruanda_red_bourbon,2,"El método Cold Brew complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil sweetness."
m_siphon,c_ruanda_red_bourbon,2,"El método Siphon complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil tea_like."
m_clever,c_ruanda_red_bourbon,2,"El método Clever Dripper complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil balanced."
m_espresso,c_ruanda_red_bourbon,4,"El método Espresso complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil concentrated."
m_origami,c_ruanda_red_bourbon,5,"El método Origami Dripper complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil clarity_floral."
m_pulsar,c_ruanda_red_bourbon,5,"El método NextLevel Pulsar complementa las notas arándanos; té negro; panela del café de Ruanda, aportando un perfil high_clarity."
m_v60,c_bolivia_java,2,"El método V60 complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil clarity_acidity."
m_kalita,c_bolivia_java,2,"El método Kalita Wave complementa las notas mora; vino; azúcar mascabado del café de Bolivia, aportando un perfil clarity_balance."
